Thu Jul 28 19:24:21 MSK 2022;15a0c4fe3c14f2630c64a16e1583d2b63cc55c08;Merge branch 'dev' of g.hse.ru:hse-apps/apps/HSEAppX into dev;Merge branch 'dev' of g.hse.ru:hse-apps/apps/HSEAppX into dev;iOS Lead;08d6893108585ac0616ee73e347788609d93ba0b
Thu Jul 28 19:23:57 MSK 2022;08d6893108585ac0616ee73e347788609d93ba0b;401 fix + signIn controller instead of signOut;401 fix + signIn controller instead of signOut;iOS Lead;51d5a77cf0d51a4fdd0ed69abe1d9048abcf7b1e
Thu Jul 28 18:54:54 MSK 2022;d60489f774a2d2fbf3fdfb6a786f32503f0fc5b4;Clean up in Search;Clean up in Search;iOS Middle;51d5a77cf0d51a4fdd0ed69abe1d9048abcf7b1e
Wed Jul 27 20:54:08 MSK 2022;51d5a77cf0d51a4fdd0ed69abe1d9048abcf7b1e;Remove TokenModel;Remove TokenModel;iOS Middle;bdecc2c047998c373a33c828a1bb3e8106bb10a5
Wed Jul 27 18:41:11 MSK 2022;bdecc2c047998c373a33c828a1bb3e8106bb10a5;Delete SectionsBuilder;Delete SectionsBuilder;iOS Middle;f171bb45a62716c94a928ef04af3d5af01afb393
Tue Jul 26 18:22:39 MSK 2022;f171bb45a62716c94a928ef04af3d5af01afb393;large title two line fix, deeplink fix;large title two line fix, deeplink fix;iOS Junior (left);9436bb52d154e846c623d6c5711424a67b89b8d9
Tue Jul 26 17:53:51 MSK 2022;9436bb52d154e846c623d6c5711424a67b89b8d9;new migration deeplinks;new migration deeplinks;iOS Junior (left);5f902a5be024573c86885ff3d0b9019ead90a7d6
Tue Jul 26 14:27:58 MSK 2022;5f902a5be024573c86885ff3d0b9019ead90a7d6;update hseuicomponents;update hseuicomponents;iOS Lead;ed142bdbd8039c3f98a39097060912baf7e8a5e6
Tue Jul 26 14:21:16 MSK 2022;ed142bdbd8039c3f98a39097060912baf7e8a5e6;enable largeeTitle in foreigners;enable largeeTitle in foreigners;iOS Lead;ef8f60c574907d81d6096e99b9b5aa007fac104f
Tue Jul 26 14:15:19 MSK 2022;ef8f60c574907d81d6096e99b9b5aa007fac104f;remove beginEndVC;remove beginEndVC;iOS Lead;adfb8eb23d66d06613f8507efb48700e23bfb31b
Tue Jul 26 14:12:14 MSK 2022;adfb8eb23d66d06613f8507efb48700e23bfb31b;bump version;bump version;iOS Lead;48a2925fb45e2edaf599958cee41876157afd0ff
Tue Jul 26 14:10:06 MSK 2022;48a2925fb45e2edaf599958cee41876157afd0ff;update hseuicopmponents;update hseuicopmponents;iOS Lead;58cb85ecee127f2ac8ca29388da3cb7b86cc377c
Tue Jul 26 14:02:24 MSK 2022;58cb85ecee127f2ac8ca29388da3cb7b86cc377c;Merge branch 'refac' into 'dev';Merge branch 'refac' into 'dev'major refacSee merge request hse-apps/apps/HSEAppX!61;iOS Lead;c8744c85f0858fb8885cf81b0f3ac9036d9a2904
Tue Jul 26 14:02:24 MSK 2022;8eea67b83acd8c3525c358c9b308354d1b40e79a;major refac;major refac;iOS Lead;c8744c85f0858fb8885cf81b0f3ac9036d9a2904
Mon Jul 25 15:09:08 MSK 2022;c8744c85f0858fb8885cf81b0f3ac9036d9a2904;Update time table file structure;Update time table file structure;iOS Middle;02ce7f05a13c4d82efe127e9475368729d0a7d39
Mon Jul 25 14:17:02 MSK 2022;02ce7f05a13c4d82efe127e9475368729d0a7d39;Completely remove courses;Completely remove courses;iOS Middle;036b33456eab1b1b89a3303ee5ccab9c19048f6c
Mon Jul 25 10:13:20 MSK 2022;036b33456eab1b1b89a3303ee5ccab9c19048f6c;fix typos;fix typos;iOS Junior (left);9391b0227d1c147fa1d6c92a290aa7db2c9595ba
Fri Jul 22 13:33:05 MSK 2022;9391b0227d1c147fa1d6c92a290aa7db2c9595ba;cleanup;cleanup;iOS Lead;aa1cd60021e2fcfa28a57adbbcdd0c213af360ad
Fri Jul 22 12:35:24 MSK 2022;aa1cd60021e2fcfa28a57adbbcdd0c213af360ad;remove isFormSent;remove isFormSent;iOS Lead;96830ff1749a2004db1ae03433ea09f4fdd31f73
Fri Jul 22 12:31:51 MSK 2022;96830ff1749a2004db1ae03433ea09f4fdd31f73;snackbar when form sent in mr;snackbar when form sent in mr;iOS Lead;2d21a02d437aa7ac6f63e74e79a4d7a7a3fc24ce
Fri Jul 22 12:29:32 MSK 2022;2d21a02d437aa7ac6f63e74e79a4d7a7a3fc24ce;add y for current year in mr;add y for current year in mr;iOS Lead;f94fbf4a16001e6f03a26166076c108ddbaf0e37
Thu Jul 21 19:01:14 MSK 2022;f94fbf4a16001e6f03a26166076c108ddbaf0e37;Clean up in Career;Clean up in Career;iOS Middle;02e16ed82f326bc4aee2e864f7ba628aafae390a
Thu Jul 21 18:20:20 MSK 2022;02e16ed82f326bc4aee2e864f7ba628aafae390a;Revert sort in catalogs;Revert sort in catalogs;iOS Middle;47afa56c2e9416b3352dcba524e04c2cbf316517
Thu Jul 21 18:18:05 MSK 2022;47afa56c2e9416b3352dcba524e04c2cbf316517;Add chevron to ForeignOverviewEntityView;Add chevron to ForeignOverviewEntityView;iOS Middle;b23dcd73290fdcb1714bf5a37eb27c63dc858d59
Thu Jul 21 18:11:44 MSK 2022;b23dcd73290fdcb1714bf5a37eb27c63dc858d59;Merge branch 'dev' of g.hse.ru:hse-apps/apps/HSEAppX into dev;Merge branch 'dev' of g.hse.ru:hse-apps/apps/HSEAppX into dev;iOS Middle;6e4c16ab47bd1ec56ae6854ecd3f7b6057764dc7
Thu Jul 21 18:11:38 MSK 2022;6e4c16ab47bd1ec56ae6854ecd3f7b6057764dc7;CV clean up;CV clean up;iOS Middle;be6fe9fa759a1696d4efec857a6981b89a66599f
Thu Jul 21 17:22:33 MSK 2022;c7eae53a326022c8043308d4c806127f213a8398;strip current year = false in mr + sort enums by name;strip current year = false in mr + sort enums by name;iOS Lead;419b811e327715162dd231b4b596bbf5ea2619f0
Wed Jul 20 17:31:40 MSK 2022;419b811e327715162dd231b4b596bbf5ea2619f0;Merge branch 'dev' of g.hse.ru:hse-apps/apps/HSEAppX into dev;Merge branch 'dev' of g.hse.ru:hse-apps/apps/HSEAppX into dev;iOS Lead;72fb161fdaa77129d9f20d3f3847ea77ce2f4d68
Wed Jul 20 17:31:30 MSK 2022;72fb161fdaa77129d9f20d3f3847ea77ce2f4d68;minor fixes in auth;minor fixes in auth;iOS Lead;56c23187b4384de91f3bce4e18e2d3f48ecb520d
Wed Jul 20 16:29:30 MSK 2022;dfb97a39d87e14c5cf10ed8bf2c2a9351e3ca1f6;MOverview visual issues, deeplink and alert fixed;MOverview visual issues, deeplink and alert fixed;iOS Junior (left);be6fe9fa759a1696d4efec857a6981b89a66599f
Wed Jul 20 16:09:11 MSK 2022;be6fe9fa759a1696d4efec857a6981b89a66599f;Clean up in project;Clean up in project;iOS Middle;4966506d3fa5314f9ebf8d04b81c0bcbd0b1a415
Wed Jul 20 15:49:35 MSK 2022;4966506d3fa5314f9ebf8d04b81c0bcbd0b1a415;Hide githooks;Hide githooks;iOS Middle;54fe18579251d3a76f560296650c8595b8bd650a
Wed Jul 20 15:48:04 MSK 2022;54fe18579251d3a76f560296650c8595b8bd650a;Merge branch 'dev' of g.hse.ru:hse-apps/apps/HSEAppX into dev;Merge branch 'dev' of g.hse.ru:hse-apps/apps/HSEAppX into dev;iOS Middle;e740c24a1d783ffb485e41d6f5d01b80fc284352
Wed Jul 20 15:47:56 MSK 2022;e740c24a1d783ffb485e41d6f5d01b80fc284352;Clean up in deadlines;Clean up in deadlines;iOS Middle;2bf724c77ddaed92a647d47a6ba1efded07d9226
Wed Jul 20 15:30:01 MSK 2022;56c23187b4384de91f3bce4e18e2d3f48ecb520d;remove _id in foreign model;remove _id in foreign model;iOS Lead;c639c4983ede1b1cb719c6e08f74e8f1010bbc79
Wed Jul 20 15:26:46 MSK 2022;c639c4983ede1b1cb719c6e08f74e8f1010bbc79;renew method in foreigners form;renew method in foreigners form;iOS Lead;d1f1df0b6393ae6055dd17a096d15929f53fd198
Wed Jul 20 14:41:36 MSK 2022;d1f1df0b6393ae6055dd17a096d15929f53fd198;update components to master;update components to master;iOS Lead;91507023d6fec1bd52002b5687b747ca03eee801
Wed Jul 20 14:30:53 MSK 2022;91507023d6fec1bd52002b5687b747ca03eee801;update hseuicomponents commits hash;update hseuicomponents commits hash;iOS Lead;2bf724c77ddaed92a647d47a6ba1efded07d9226
Mon Jul 18 17:12:03 MSK 2022;2bf724c77ddaed92a647d47a6ba1efded07d9226;Merge branch 'MigrationMain' into 'dev';Merge branch 'MigrationMain' into 'dev'MMMigration MMMainSee merge request hse-apps/apps/HSEAppX!58;iOS Junior (left);04a55cf3f201fdd2d0d687349696e78634a888c5
Mon Jul 18 17:05:59 MSK 2022;a907b7d3465a92601f7d35873a24b1242582a338;dev merge;dev merge;iOS Junior (left);7cd0c998c15360f05e1d255cc16deb81228b831b
Mon Jul 18 17:04:17 MSK 2022;7cd0c998c15360f05e1d255cc16deb81228b831b;foreign overview final;foreign overview finallocalization for med&finger, codestyle issues, visual issues, HEAD Detached;iOS Junior (left);6f784b1d937730c3625df751dc63dbcb59777ca5
Mon Jul 18 17:00:29 MSK 2022;04a55cf3f201fdd2d0d687349696e78634a888c5;remove unused script;remove unused script;iOS Lead;5bfbacd9c32e679c768fa95d17bc40177b9b2733
Mon Jul 18 16:59:59 MSK 2022;5bfbacd9c32e679c768fa95d17bc40177b9b2733;auth minor fixes;auth minor fixes;iOS Lead;4bc2e410beed4ec9c2b985ec4d519a965d20e8f0
Mon Jul 18 16:34:59 MSK 2022;4bc2e410beed4ec9c2b985ec4d519a965d20e8f0;fix mocker comparison urls;fix mocker comparison urls;iOS Lead;371fab8d6893365d2e7ca70f433ac4a9e9f11ed7
Mon Jul 18 14:37:03 MSK 2022;6f784b1d937730c3625df751dc63dbcb59777ca5;merge dev;merge dev;iOS Junior (left);9f7147a0f0ee21fa4d03b73674fd830377517550
